[ERROR] 203.66.211.140   => 110.139.19.172  	 real_cnt=2    	 estimate = 682.0 
[ERROR] 114.156.22.199   => 133.189.198.104 	 real_cnt=2    	 estimate = 4.0   
[ERROR] 203.66.211.140   => 203.11.252.75   	 real_cnt=2    	 estimate = 0.0   
[ERROR] 192.218.129.59   => 104.167.40.123  	 real_cnt=24   	 estimate = 28.0  
[PASS]  203.66.211.140   => 59.98.164.77    	 real_cnt=2    	 estimate = 2.0   
[ERROR] 131.31.134.154   => 35.90.128.47    	 real_cnt=4    	 estimate = 2.0   
[ERROR] 203.66.211.140   => 171.59.157.90   	 real_cnt=2    	 estimate = 10.0  
[ERROR] 203.66.211.140   => 222.255.202.25  	 real_cnt=2    	 estimate = 0.0   
[ERROR] 172.39.229.75    => 150.192.178.200 	 real_cnt=58   	 estimate = 64.0  
[ERROR] 203.66.193.201   => 153.114.205.86  	 real_cnt=2    	 estimate = 54.0  
[ERROR] 150.192.176.215  => 172.39.228.111  	 real_cnt=4    	 estimate = 14.0  
[ERROR] 203.66.211.140   => 61.237.74.222   	 real_cnt=2    	 estimate = 14.0  
[PASS]  203.66.211.140   => 121.174.111.10  	 real_cnt=2    	 estimate = 2.0   
[ERROR] 153.8.218.235    => 203.66.211.140  	 real_cnt=2    	 estimate = 10.0  
[ERROR] 203.66.211.140   => 111.88.81.179   	 real_cnt=2    	 estimate = 0.0   
[PASS]  150.192.89.24    => 162.92.125.21   	 real_cnt=4    	 estimate = 4.0   
[ERROR] 133.164.215.55   => 139.122.72.191  	 real_cnt=2    	 estimate = 0.0   
[PASS]  172.39.228.97    => 150.192.179.147 	 real_cnt=4    	 estimate = 4.0   
[PASS]  203.66.211.140   => 103.233.131.185 	 real_cnt=2    	 estimate = 2.0   
[ERROR] 172.39.230.21    => 131.30.104.249  	 real_cnt=2    	 estimate = 870.0 
[ERROR] 150.192.60.137   => 23.244.63.159   	 real_cnt=14   	 estimate = 12.0  
[PASS]  203.66.211.140   => 54.234.133.146  	 real_cnt=2    	 estimate = 2.0   
[ERROR] 198.12.66.227    => 150.177.163.190 	 real_cnt=2    	 estimate = 0.0   
[ERROR] 203.66.211.140   => 37.149.238.180  	 real_cnt=2    	 estimate = 4.0   
[ERROR] 203.66.211.140   => 111.11.78.36    	 real_cnt=2    	 estimate = 4.0   
[ERROR] 216.245.69.40    => 163.221.147.166 	 real_cnt=104  	 estimate = 60.0  
[ERROR] 220.248.165.94   => 203.66.211.140  	 real_cnt=2    	 estimate = 4.0   
[ERROR] 203.66.211.140   => 61.213.161.105  	 real_cnt=2    	 estimate = 4.0   
[ERROR] 172.39.228.96    => 163.221.147.81  	 real_cnt=6    	 estimate = 8.0   
[ERROR] 203.66.198.197   => 211.122.134.119 	 real_cnt=2    	 estimate = 10.0  
[ERROR] 202.13.220.49    => 118.201.111.232 	 real_cnt=2    	 estimate = 0.0   
[ERROR] 131.31.155.171   => 23.194.76.91    	 real_cnt=12   	 estimate = 0.0   
[ERROR] 203.227.95.226   => 180.6.22.60     	 real_cnt=2    	 estimate = 0.0   
[PASS]  203.66.211.140   => 112.55.91.218   	 real_cnt=2    	 estimate = 2.0   
[ERROR] 203.66.211.140   => 112.124.129.234 	 real_cnt=2    	 estimate = 0.0   
[ERROR] 203.66.211.140   => 111.244.39.93   	 real_cnt=2    	 estimate = 8.0   
[ERROR] 198.12.67.21     => 150.177.46.48   	 real_cnt=2    	 estimate = 4.0   
[ERROR] 163.221.6.143    => 203.49.0.209    	 real_cnt=2    	 estimate = 0.0   
[ERROR] 203.66.193.242   => 118.225.119.38  	 real_cnt=2    	 estimate = 6.0   
[ERROR] 202.60.56.193    => 202.13.220.49   	 real_cnt=4    	 estimate = 6.0   
[ERROR] 106.119.76.226   => 131.30.7.112    	 real_cnt=2    	 estimate = 22.0  
[ERROR] 203.66.211.140   => 60.89.101.141   	 real_cnt=2    	 estimate = 8.0   
[PASS]  150.192.178.241  => 54.253.45.93    	 real_cnt=4    	 estimate = 4.0   
[PASS]  203.66.193.201   => 52.63.106.96    	 real_cnt=2    	 estimate = 2.0   
[ERROR] 131.31.109.80    => 64.9.33.160     	 real_cnt=4    	 estimate = 14.0  
[ERROR] 203.66.211.140   => 165.129.37.188  	 real_cnt=2    	 estimate = 4.0   
[ERROR] 203.66.211.140   => 118.25.247.96   	 real_cnt=2    	 estimate = 0.0   
[ERROR] 203.227.95.226   => 180.6.145.206   	 real_cnt=2    	 estimate = 0.0   
[ERROR] 203.66.193.201   => 133.122.68.118  	 real_cnt=2    	 estimate = 10.0  
[PASS]  203.66.211.140   => 114.189.166.49  	 real_cnt=2    	 estimate = 2.0   
[ERROR] 203.66.211.140   => 202.215.232.99  	 real_cnt=2    	 estimate = 8.0   
[ERROR] 203.66.211.140   => 60.93.72.140    	 real_cnt=2    	 estimate = 38.0  
[ERROR] 203.66.211.140   => 124.118.69.117  	 real_cnt=2    	 estimate = 24.0  
[ERROR] 203.66.211.140   => 101.142.185.45  	 real_cnt=2    	 estimate = 4.0   
[ERROR] 198.12.67.25     => 150.177.1.123   	 real_cnt=2    	 estimate = 28.0  
[ERROR] 203.66.211.140   => 18.97.208.87    	 real_cnt=2    	 estimate = 0.0   
[ERROR] 203.66.211.140   => 222.112.88.39   	 real_cnt=2    	 estimate = 4.0   
